,type,event_timex,tlink_label
453,silver,matched or exceeded the 1987 exceeded the 1987 slide --,unspecified
454,silver,game unit agreed to a interactive software rose $1 *end*,before
455,silver,want to solve the problem *start* " said ashok gupta,unspecified
456,silver,taxes now consume a whopping spending is higher than the,unspecified
457,silver,the first drop in three first drop in three months *end* *end*,before
458,silver,were also voting to bring provocateur is now creating the,unspecified
459,silver,minutes on monday morning after a scareairport authorities shut down a,overlap
460,silver,small fund several years ago *end* *end* fund had extended the maturity,unspecified
461,silver,the dow leapt 197 *end* the dow rose 2 *end*,unspecified
462,silver,and they find it misguided is "not telling us a,overlap
463,silver,are retail sales and consumer *start* " said john rothfield,unspecified
464,silver,sharpton once epitomized new york's of the 1980s *end* *end*,unspecified
465,silver,economic growth means increased earnings *start* during 1984 *end* *end*,unspecified
466,silver,yorkers now witnessing his emergence new yorkers elected bill de,unspecified
467,silver,of 1983-84 brought greater prosperity million people moved above the,unspecified
468,silver,after the 1987 stock-market crash *start* he cut rates after,after
469,silver,new yorkers elected bill de as mayor last year *end* *end*,overlap
470,silver,more than quadrupled *end* *end* intel is up 146% *end*,unspecified
471,silver,6% in 2005 *end* *end* s&p 500 went up less,unspecified
472,silver,stocks have sagged in the sagged in the past few weeks *end* *end*,unspecified
473,silver,were mostly lower early monday mostly lower early monday as a,overlap
474,silver,predict the october sales slowdown the pregnant pause of a,unspecified
475,silver,*start*  suggesting they think who would fill two remaining,unspecified
476,silver,lot better buy today than better buy today than they,unspecified
477,silver,at its june 27 -28 meeting *end* its june 28 meeting *end*,after
478,silver,have all cut rates--between them *start* further falls in inflation,unspecified
479,silver,the best september since a *start* 5% rise in 1939,unspecified
480,silver,friday prompted profit-taking in pricey murakami's fund rose *end* *end*,unspecified
481,silver,homes were unchanged in july were unchanged in july *end* *end*,overlap
482,silver,reporting period ended march 14 period ended march 14 *end* *end*,unspecified
483,silver,not yet closed out at interest -- jumped 7 *end*,unspecified
484,silver,quarter and the year were a a pleasant surprise *end* *end*,unspecified
485,silver,since thailand devalued the baht *start*  setting off worldwide,after
486,silver,a similar conversation *end* *end* which platform offers them a,unspecified
487,silver,thing to track is the cut significantly reduces the cost,unspecified
488,silver,some also said they want want to see foreign investors',unrealized
489,silver,fanfare just two years ago *end* *end* have been premature *end* *end*,unspecified
490,silver,after the 1987 stock-market crash management in 1998 to prevent,before
491,silver,*start* russia continued its rally financial package assembled earlier in,before
492,silver,american companies should lead in companies should lead in the,unrealized
493,silver,*start*  said harry strunk *start* strunk surveys a group,unspecified
494,silver,survey helped reassure investors that machine was humming *end* *end*,unspecified
495,silver,europe and jumped 2 *end* while italy rose 0 *end*,overlap
496,silver,bonds were launched in u eurodollar issues closed mostly unchanged,overlap
497,silver,helped to propel european and stocks higher yesterday *end* *end*,unspecified
498,silver,been the highest-flying of the stocks in the past year *end* *end*,unspecified
499,silver,*start* actually subsidizes the sale subsidizes the sale of american,overlap
500,silver,years to get to $919 but only 220 more years to reach,unspecified
501,silver,*start* he promised to "maintain *start* bernanke shows signs of,after
502,silver,are closed today for a *start* analysts expect more data,unspecified
503,silver,jones industrials skidded 48 *end* *start* bonds plunged *end* *end*,unspecified
504,silver,federal court dismissed the stamford jakks originally obtained a wwe,before
505,silver,positions and embolden bearish investors *start* *start* recent volatility in,unspecified
506,silver,in recent creating new jobs jobs and making new investments,unspecified
507,silver,got another shot in the arm on friday *end* *end*,overlap
508,silver,expected to push several advanced monetary fund said *end* *end*,unspecified
509,silver,pulled back yesterday *end* *end* japanese stocks pulled back yesterday,overlap
510,silver,begin late next year *end* *end* recovery to begin late next,overlap
511,silver,china is targeting lower growth lower growth over the next five years *end* *end*,unrealized
512,silver,price will bail them out *start* " says lehman brothers,unspecified
513,silver,were mostly lower early monday prices amid continued worries over,overlap
514,silver,have been premature *end* *end* do i generate a steady,unrealized
515,silver,*start* analysts expect more data which would feed speculation that,unspecified
516,silver,andrew cuomo gushed *end* *end* america to see mr *end*,unspecified
517,silver,chains have filed for bankruptcy bankruptcy protection in recent months *end* *end*,toText
518,silver,them has decided the political intensifying political battle over the,unspecified
519,silver,*start* " get me into *start* i'll sell it and,unspecified
520,silver,chairman from 1987 to 2006 1987 to 2006 *end* *end*,after
521,silver,the nasdaq gained 23 *end* revenue growth in the second quarter *end* *end*,unspecified
522,silver,*start*  published tuesday by *start* published tuesday by the,overlap
523,silver,german yields hit a record at a low for the,overlap
524,silver,the stock falling 2 9/16 the most active call contracts,unspecified
525,silver,*start* on may 2 *end* *end* central bank cut rates and,before
526,silver,*start* is taking a more is being pitched to investors,overlap
527,silver,its 30-year bull run *end* *end* *start* on may 2 *end* *end*,unspecified
528,silver,*start* has benefited short sellers *start*  said harry strunk,unspecified
529,silver,consecutive yearly decline in inflation-adjusted out of business in the,unspecified
530,silver,economic worries pulled the plug videogame makers powered up after,unspecified
531,silver,has been endorsing all along want to solve the problem,unspecified
532,silver,interest -- jumped 7 *end* in late february *end* *end*,unspecified
533,silver,*start* *start* recent volatility in *start* has benefited short sellers,after
534,silver,and europe grapples with economic *start* analysts expect the dollar,unspecified
535,silver,the imf said wednesday in imf said wednesday in its,overlap
536,silver,*start* 5% lower *end* *end* comments on sunday from china's,unspecified
537,silver,dollar and depressed the tokyo "the comments suggest further *end*,unspecified
538,silver,price/earnings ratio slipped *end* *end* 4 times 2005 earnings *end*,unspecified
539,silver,increases also indicates inflation isn't *start*  indicates whether various,unspecified
540,silver,gainer is dell computer *end* *end* *start* in the past 12 months *end* *end*,unspecified
541,silver,*start* " removing trade and agreement] will increase market access,before
542,silver,jerry nadler rushed to pay america to see mr *end*,overlap
543,silver,million people moved above the improvement was broad-based *end* *end*,overlap
544,silver,corporations' productivity lags behind their productivity center said in its,unspecified
545,silver,have been premature *end* *end* for people entering retirement *end*,unspecified
546,silver,while italy rose 0 *end* and switzerland slid 0 *end*,overlap
547,silver,eurodollar issues closed mostly unchanged continued to drift on dollar,overlap
548,silver,double-digit unit growth for world-wide personal computer sales *end* *end*,unspecified
549,silver,grow in december *end* *end* purchasing management said its members,unspecified
550,silver,economy kept rising even though share prices fell more than,overlap
551,silver,fairly resounding yes *end* *end* and they find it misguided,unspecified
552,silver,do i generate a steady mutual funds offer an answer,unspecified
553,silver,been particularly intense this year *start* on monday he called,overlap
554,silver,for about 80 minutes on monday minutes on monday morning after a,unspecified
555,silver,after the 1987 stock-market crash management in 1998 to prevent,after
556,silver,*start* " removing trade and agreement] will increase market access,unrealized
557,silver,reached in the fall of 1982 *end* *end* record levels reached in the,overlap
558,silver,6% in 2005 *end* *end* s&p 500 increased 13 *end*,overlap
559,silver,less than eight weeks ago that the industrial average reached a record,overlap
560,silver,more than quadrupled *end* *end* stocks have sagged in the,unspecified
561,silver,tempting to believe otherwise *end* it was less than eight weeks ago that the,unspecified
562,silver,the baht float *end* *end* markets have crumbled *end* *end*,after
563,silver,*start* they knew they were "progressive" who pledged to soak,unspecified
564,silver,*start* in march *end* *end* federal officials completed a six-month,overlap
565,silver,sagged in the past few weeks *end* *end* dell has proved surprisingly robust,unspecified
566,silver,officials would prefer for china *start* geithner said *end* *end*,unspecified
567,silver,scareairport authorities shut down a for about 80 minutes on monday,unspecified
568,silver,significant free-trade negotiation we have on in 15 years *end* *end*,unspecified
569,silver,will probably trigger a rally index for may *end* *end*,unspecified
570,silver,exception was in world war ii when *end* economy kept rising even though,unspecified
571,silver,consumers to increase their holdings are all alike *end* *end*,unspecified
572,silver,minutes on monday morning after a police dog indicated that a,unspecified
573,silver,bolder types concluded *end* *end* had in past years *end* *end*,unspecified
574,silver,liquid is beautiful *end* *end* *start* " says leila heckman,unspecified
575,silver,vehicles has become a public-relations more-efficient vehicles raises worries about,overlap
576,silver,imf said wednesday in its the imf said wednesday in,overlap
577,silver,the alarm felt by many new yorkers now witnessing his,overlap
578,silver,get to $919 *end* *end* but only 220 more years to reach,unspecified
579,silver,s&p 500 increased 13 *end* s&p 500 went up less,unspecified
580,silver,record levels reached in the banks were allowed to offer,after
581,silver,reserve board stressed the importance *start* "over the next few years *end* *end*,unspecified
582,silver,are becoming hypersensitive to the has been sharp *end* *end*,overlap
583,silver,the company earlier this year pegged its this year pegged its own,unspecified
584,silver,period ended march 14 *end* *end* reporting period ended march 14,overlap
585,silver,time since 1966 (except *end* one-percentage-point reduction last year -- from,unspecified
586,silver,*start*  extending its weekly benchmark is up 8 *end*,unspecified
587,silver,automakers are mounting one of in recent creating new jobs,unspecified
588,silver,decision to raise interest rates options market looked forward to,after
589,silver," he said *end* *end* *start* also said the recent,unspecified
590,silver,3% in november *end* *end* fourth consecutive measure above 50%,before
591,silver,monday and tuesday *end* *end* *start*  played catch-up with,unspecified
592,silver,major economic duties *end* *end* stability is one *end* *end*,unspecified
593,silver,10% were elderly ; 20% elderly; 20% fell into the,overlap
594,silver,*start*  since 1976 annual gdp has steadily declined *end* *end*,overlap
595,silver,*start* " said quincy krosby the dollar weakening against most,unspecified
596,silver,sharpton in august about the *start* it turned out in,unspecified
597,silver,fed's chairman from 1987 to 2006 *end* *end* important in understanding why mr,before
598,silver,*start* for the 13th consecutive month *end* *end* *start* prices continued to fall,overlap
599,silver,is "not telling us a "there's hardly anything wrong with,overlap
600,silver,unchanged from 105.84 yen late friday 84 yen late friday *end* *end*,overlap
601,silver,and switzerland slid 0 *end* japanese stocks rose 0 *end*,overlap
602,silver,difficult to withdraw funds *end* insurers generally keep any remaining,unspecified
603,silver,corporate profits grew quickly *end* s&p 500 increased 13 *end*,unspecified
604,silver,*start* he cut rates after after the 1987 stock-market crash,before
605,silver,industrial economy slows in december slows in december *end* *end*,unspecified
606,silver,*start*  did *end* *end* is being pitched to investors,unspecified
607,silver,invest were projected to raise $670 billion over the next five years *end* *end*,unspecified
608,silver,*start*  drew yawns rather the market treaded water *end*,overlap
609,silver,1% in july *end* *end* the weakest level since 2002,unspecified
610,silver,financial markets closed for the closed for the easter holiday and little,unspecified
611,silver,*start* published tuesday by the that after increasing steadily during,unspecified
612,silver,*start* but today the american 540 in 1996 from just,after
613,silver,fed must craft policies that policies that ensure that our,unrealized
614,silver,*start*  charging that daiwa and then overnight in tokyo,unspecified
615,silver,who has served as president francisco since 2004 *end* *end*,after
616,silver,loathe to turn over their difficult to withdraw funds *end*,unspecified
617,silver,been more sizable than normal else to focus on *end*,overlap
618,silver,*start* the realization is setting a severe toughening of the,unspecified
619,silver,first americans hated taxes; the the constitution limited government and,overlap
620,silver,5 in early november *end* *end* than the late october reading of,before
621,silver,police dog indicated that a out to contain papers *end*,unspecified
622,silver,*start* *start* over the previous six weeks *end* *end* officials would prefer for china,unspecified
623,silver,*start*  indicates whether various worse than the previous month *end* *end*,after
624,silver,*start*  said yesterday *end* *start* said yesterday *end* *end*,unspecified
625,silver,to zero in just 10 days *end* *end* selloff has seen year-to-date gains,overlap
626,silver,and serious harm " to that could hurt economic growth,unspecified
627,silver,police dog indicated that a *start*  turned out to,before
628,silver,*start* it turned out in in force earlier this month to celebrate,unspecified
629,silver,*start*  pushing the dow european markets set highs *end*,unspecified
630,silver,an ad appeared in this it was signed by 61,unspecified
631,silver,*start* in the past 12 months *end* *end* more than quadrupled *end* *end*,overlap
632,silver,retail sales slipped 0 *end* 3% in october *end* *end*,overlap
633,silver,*start*  tomorrow's monthly expiration tomorrow's monthly expiration of options,unspecified
634,silver,environmental groups gird for another *start* private discussions are under,overlap
635,silver,*start* was well-received *end* *end* syndicate specialists said the bonds,unspecified
636,silver,compelled to pay for silly to genetically re-engineer cotton *end*,unspecified
637,silver,company has proposed an initial is being pitched to investors,before
638,silver,purchasing agents indicated *end* *end* its members reported a decline,overlap
639,silver,south africa rose 2% *end* european markets rose 0 *end*,overlap
640,silver,*start* investors suffered a 6% small fund several years ago *end* *end*,unspecified
641,silver,fanfare just two years ago *end* *end* *start*  introduced with much,overlap
642,silver,*start*  conferred with mr sharpton in august about the,overlap
643,silver,in just 10 days *end* *end* hero to zero in just,after
644,silver,particularly intense this year *end* *end* *start* on monday he called,unspecified
645,silver,news about last year 's flat stocks got cheaper *end* *end*,unspecified
646,silver,provide over the coming year *end* *end* fed can provide over the,unrealized
647,silver,funds have enjoyed a resurgence of popularity this year *end* *end*,toText
648,silver,some also said they want *start*  admitted yesterday that,unspecified
649,silver,*start* he promised to "maintain *start* bernanke shows signs of,before
650,silver,*start* " said mr *end* professor who sits on a,unspecified
651,silver,management in 1998 to prevent *start* bernanke distinguishes between the,before
652,silver,them has decided the political vehicles has become a public-relations,unspecified
653,silver,month to celebrate mr *end* hillary clinton phoned in with,overlap
654,silver,homer's couldn't survive the current which has wiped out hundreds,overlap
655,silver,scareairport authorities shut down a airport for about 80 minutes on monday,unspecified
656,silver,machine was humming *end* *end* economic data a few hours later showed companies,unspecified
657,silver,record levels reached in the reached in the fall of 1982 *end* *end*,unspecified
658,silver,accomplishment should quiet those who who have criticized "reaganomics" as,unspecified
659,silver,*start*  justifying enormous leaps *start* *start* today *end* *end*,before
660,silver,sharpton in august about the *start*  conferred with mr,overlap
661,silver,consumers have decided they can of furniture fell 6% last,unspecified
662,silver,the dollar rebounded during the composite index fell about 160,unspecified
663,silver,*start* ) noted that recent recent data suggested that the,before
664,silver,embarked on in 15 years *end* *end* *start* " removing trade and,before
665,silver,worse than the previous month *end* *end* *start*  declined to 51,unspecified
666,silver,they were critical of the *start*  charging that daiwa,overlap
667,silver,murakami's fund rose *end* *end* *start* after falling sharply on,before
668,silver,"jakks pacific rose 1 *end* 57 after winning a crucial,before
669,silver,intensifying political battle over the vehicles has become a public-relations,overlap
670,silver,this consensus deserves close scrutiny *start* it expects only a,unspecified
671,silver,range from giving the federal role to introducing "circuit breakers",unspecified
672,silver,close within the next 30 to 60 days following antitrust expected to announce the deal,unspecified
673,silver,*start* private discussions are under way to work out a,unspecified
674,silver,*start* sharpton changed or simply or simply outlasted his critics,unspecified
675,silver,been particularly intense this year particularly intense this year *end* *end*,unspecified
676,silver,begin to slow down in the slow down in the second half *end* *end*,unrealized
677,silver,more conservative approach to pricing is being pitched to investors,unspecified
678,silver,period ended march 14 *end* *end* not yet closed out at,unspecified
679,silver,81 cents late friday in new changed from 93.81 cents late friday,overlap
680,silver,*start* 1% in august to a lowest pace in a year *end* *end*,unspecified
681,silver,"tech-stock investors fluctuate from euphoria blind panic mode *end* *end*,unspecified
682,silver,*start* analysts predicted they could they could drop further in,unrealized
683,silver,reserve in 2005 *end* *end* bernanke hasn't cut the fed's,unspecified
684,silver,they could drop further in further in coming months *end* *end*,unspecified
685,silver,*start* " said john rothfield to be benign *end* *end*,unspecified
686,silver,the dollar weakening against most *start* she said *end* *end*,unspecified
687,silver,is the elimination of the be the case if scientific,unspecified
688,silver,*start* on friday *end* *end* s&p 500 closed at 16,overlap
689,silver,*start*  suggesting that consumer benign and leaving an uncertain,overlap
690,silver,rates and hinted that it might yet push the rate,unspecified
691,silver,fourth consecutive measure above 50% economy is expanding *end* *end*,overlap
692,silver,*start* *start* yesterday *end* *end* *start*  saw its index,overlap
693,silver,slow down in the second half *end* *end* *start* he said the fed,unspecified
694,silver,*start*  complained that this complained that this week 's expiration,unspecified
695,silver,decrease in july to a other economists expect new-home sales,unspecified
696,silver,"jakks pacific rose 1 *end* 57 after winning a crucial,after
697,silver,were so intertwined as to *start* he cut rates after,unspecified
698,silver,it could alter investors' expectations historically has had two major,after
699,silver,*start*  lighten up on *start* and load up on,unspecified
700,silver,in late february *end* *end* interest -- jumped 7 *end*,after
701,silver,average on track for the the best september in 71,unspecified
702,silver,*start* *start* earlier this month an ad an ad appeared in this,overlap
703,silver,expected to announce the deal planned visit friday to a,unspecified
704,silver,single-family homes fell 8 *end* *start* 1% in august to a,overlap
705,silver,jones industrials rose 87 *end* the nasdaq gained 23 *end*,unspecified
706,silver,have to raise interest rates fed chairman said 1996 so,unspecified
707,silver,violence of may 's selloff may's selloff suggests that with,toText
708,silver,*start* it finished 2004 at it finished 2004 at 18,unspecified
709,silver,nominees to become fed governors *start* if confirmed to the,unspecified
710,silver,jakks originally obtained a wwe wrestling entertainment fell 12 cents,unspecified
711,silver,hillary clinton phoned in with michelle obama sent a congratulatory,unspecified
712,silver,the economy hurt the growth-sensitive credit agricole said in a,before
713,silver,*start* it finished 2004 at it finished 2004 at 18,before
714,silver,*start* he cut rates after after the 1987 stock-market crash,unspecified
715,silver,*start* admitted yesterday that he *start*  admitted yesterday that,overlap
716,silver,interactive software rose $1 *end* going to tumble into a,unspecified
717,silver,data yet suggest an economy that is standing on firm,unspecified
718,silver,ratio in 10 years *end* *end* it's the lowest s&p 500,overlap
719,silver,*start*  saying that next saying that next year they "may,unrealized
720,silver,*start* and pity the small *start* avidly checking up on,unspecified
721,silver,financial markets closed for the *start* analysts say investors initially,overlap
722,silver,were mostly lower early monday mostly lower early monday as a,unspecified
723,silver,industrial economy slows in december economy slows in december *end* *end*,overlap
724,silver,*start*  steer clear of *start*  lighten up on,unspecified
725,silver,other economists expect new-home sales *start* they disagree about next,overlap
726,silver,*start* in 1991 *end* *end* *start* homer's lost money for,overlap
727,silver,asian markets suffered staggering declines *start* since july 2, 1997 when thailand,unspecified
728,silver,net income rose by 10% *start* lucent posted strong quarterly,unspecified
729,silver,in just 10 days *end* *end* *start*  may 's selloff,unspecified
730,silver,*start*  filed for chapter *start*  said it plans,unspecified
731,silver,months after upgrading its global imf is now ratcheting down,unspecified
732,silver,revenue growth in the second quarter *end* *end* net income rose by 10%,unspecified
733,silver,share prices fell more than *start* in predicting more recession-free,unspecified
734,silver,business in the first 10 months of last year *end* *end* *start*  up 21% from,unspecified
735,silver,investors shouldn't assume that the funds can differ in such,unspecified
736,silver,more-efficient vehicles raises worries about a political nonstarter *end* *end*,overlap
737,silver,*start* but today the american taxes now consume a whopping,overlap
738,silver,s&p 500 went up less s&p 500 closed at 16,unspecified
739,silver,murakami fund holds a major radio all rose *end* *end*,unspecified
740,silver,budget would amount to $17 billion over the next three years when compared,unspecified
741,silver,was at 93.75 cents *end* *end* changed from 93.81 cents late friday,after
742,silver,which many saw as a had gotten ahead of itself,unspecified
743,silver,company in 1912 with four *start* "i felt numb *end*,unspecified
744,silver,grow in december *end* *end* purchasing agents indicated *end* *end*,overlap
745,silver,fed chairman said 1996 so chairman said 1996 so far,overlap
746,silver,comments on sunday from china's *start* *start* comments on sunday,overlap
747,silver,company analysts polled by reuters reuters estimates predict that earnings,overlap
748,silver,for its june 25 lower house and europe grapples with economic,unspecified
749,silver,as mayor last year *end* *end* *start* they knew they were,overlap
750,silver,blind panic mode *end* *end* lot better buy today than,unspecified
751,silver,*start* " today *end* *end* automakers are mounting one of,overlap
752,silver,composite was off 1 *end* nzx-50 was up 0 *end*,overlap
753,silver,industrial average reached a record bolder types concluded *end* *end*,unspecified
754,silver,just don't like to see and they're pulling back *end*,unspecified
755,silver,and to restructure the economy the economy hurt the growth-sensitive,unspecified
756,silver,interest -- jumped 7 *end* 052 shares in late february *end* *end*,overlap
757,silver,while italy rose 0 *end* *start* 8% rise in the,unspecified
758,silver,it closed friday at 70 has been firing on all,unspecified
759,silver,central bank cut rates and might yet push the rate,unrealized
760,silver,america to see mr *end* *start* sharpton catapulted into the,overlap
761,silver,continue to suggest a soft have been falling *end* *end*,overlap
762,silver,*start* ---at&t showed significantly lower revenue growth in the second quarter *end* *end*,overlap
763,silver,*start* it turned out in in force earlier this month to celebrate,overlap
764,silver,how to jump on board is an effort by the,unspecified
765,silver,pulled back yesterday *end* *end* murakami and declines in u,unspecified
766,silver,has been sharp *end* *end* *start* on may 2 *end* *end*,unspecified
767,silver,provocateur is now creating the is now creating the biggest,overlap
768,silver,29% peak during world war i ; the was 49% during world war ii *end* *end*,unspecified
769,silver,news to trigger broadbased profit-taking better buy today than they,unspecified
770,silver,fund might sell off its stock average dropped 121 points,unspecified
771,silver,mostly lower early monday as a prices amid continued worries over,unspecified
772,silver,closed for the easter holiday and little *start* analysts say investors initially,unspecified
773,silver,been as active as some *start*  complained that this,unspecified
774,silver,stocks in the past year *end* *end* gainer is dell computer *end* *end*,unspecified
775,silver,murakami and declines in u stocks from friday prompted profit-taking,overlap
776,silver,michael schwartz said that a options contracts yielded few suspects,before
777,silver,in force earlier this month to celebrate month to celebrate mr *end*,overlap
778,silver,treasury will walk away with expected to close within the,unspecified
779,silver,domestic product grew to $28 540 in 1996 from just,unspecified
780,silver,industrial average reached a record *start* optimists saw it as,overlap
781,silver,540 in 1996 from just domestic product grew to $28,overlap
782,silver,single-family homes fell 8 *end* 1% in august to a,unspecified
783,silver,2% in april *end* *end* 7% in march *end* *end*,before
784,silver,84 yen late friday *end* *end* was at 93.75 cents *end* *end*,unspecified
785,silver,*start* in predicting more recession-free growth as 1988 goes along,overlap
786,silver,*start* in 1984 *end* *end* *start* 35% lived in female-headed,overlap
787,silver,murakami's fund rose *end* *end* *start* after falling sharply on,unspecified
788,silver,game unit agreed to a interactive software rose $1 *end*,unspecified
789,silver,companies are spending their money demand is intact *end* *end*,unspecified
790,silver,sharpton once epitomized new york's days of the 1980s *end* *end*,unspecified
791,silver,about job losses for its *start* the realization is setting,unspecified
792,silver,meeting at the end of the month *end* *end* elsewhere could help the dollar,unspecified
793,silver,was at 105.79 yen *end* *end* unchanged from 105.84 yen late friday,unspecified
794,silver,yields to six-month highs *end* the dollar surged *end* *end*,unspecified
795,silver,have been falling *end* *end* *start* has dropped to 1,overlap
796,silver,inflation is estimated at 1 2% in april *end* *end*,unspecified
797,silver,the constitution limited government and *start*  banned levies on,overlap
798,silver,recovery of 1983-84 brought greater of 1983-84 brought greater prosperity,overlap
799,silver,*start* he said the fed in a state of "heightened,toText
800,silver,at all marks a big them has decided the political,unspecified
801,silver,be a boon for retirees have been premature *end* *end*,unrealized
802,silver,*start* prices swung in a *start*  said yesterday *end*,unspecified
803,silver,common man became better off domestic product grew to $28,unspecified
804,silver,is now ratcheting down its the economy this year and into,overlap
805,silver,it closed friday at 70 *start* what explains dell's startling,unspecified
806,silver,*start* sharpton led protests against just as obsequious *end* *end*,unspecified
807,silver,central bank cut rates and german yields hit a record,unspecified
808,silver,and sometimes more than a year later *end* *end* exception was in world war ii when *end*,unspecified
809,silver,these investments use different strategies strategies but start with the,overlap
810,silver,*start* during 1984 *end* *end* census bureau reported better incomes,overlap
811,silver,price/earnings ratio slipped *end* *end* *start* on friday *end* *end*,unspecified
812,silver,-- to lend to solid action was aimed at restoring,unspecified
813,silver,*start* ) noted that recent recent data suggested that the,overlap
814,silver,growth to avoid inflation and and to restructure the economy,unspecified
815,silver,confirmation hearing thursday alongside two *start* if confirmed to the,unspecified
816,silver,industrial average reached a record *start* optimists saw it as,unspecified
817,silver,might yet push the rate german yields hit a record,unspecified
818,silver,from friday prompted profit-taking in murakami's fund rose *end* *end*,unspecified
819,silver,higher inflation in weeks ahead *end* *end* and bonds rallied on his,unspecified
820,silver,analysis were introduced into the taxation has provided an element-by-element,unspecified
821,silver,*start* which assumes u *end* governments will succeed in their,unrealized
822,silver,but the floundering stock market *start* the rise in interest,unspecified
823,silver,*start* also said the recent and serious harm " to,unspecified
824,silver,rate and lengthened the term banks would use the window,unspecified
825,silver,a definitive turning point for the 30-year bull run *end* *end*,unspecified
826,silver,japanese stocks rose 0 *end* *start* russia continued its rally,unspecified
827,silver,*start* just a few weeks later *end* *end* *start* doomsayers point to the,unspecified
828,silver,06 in january *end* *end* murakami fund holds a major,unspecified
829,silver,*start*  said it plans chains have filed for bankruptcy,unspecified
830,silver,allowed to offer competing "money but the floundering stock market,unspecified
831,silver,*start* analysts expect the dollar markets are closed today for,unspecified
832,silver,financial markets since the 1930s *end* *end* the imf said wednesday in,unspecified
833,silver,6% in 2005 *end* *end* 500 went up less than,unspecified
834,silver,disagree about next year's outlook because sales should total about 665,unspecified
835,silver,chairman said 1996 so far begin to slow down in the,unspecified
836,silver,tends to break out when substance to discuss *end* *end*,unspecified
837,silver,*start* *start* today's market forecast]home *start* "it's different this time,unspecified
838,silver,*start* he cut rates after after the 1987 stock-market crash,after
839,silver,the recession cut customer traffic discount wars ate up margins,overlap
840,silver,it could alter investors' expectations major economic duties *end* *end*,unspecified
841,silver,unlikely to pull the euro continue to suggest a soft,unrealized
842,silver,may never return to the record levels reached in the,before
843,silver,*start*  say the experts liquid is beautiful *end* *end*,unspecified
844,silver,*start*  conferred with mr sharpton in august about the,unspecified
845,silver,is being pitched to investors company has proposed an initial,unspecified
846,silver,"when you look at spending consumers have pulled back *end*,after
847,silver,reserve board said they expect *start*  suggesting they think,overlap
848,silver,s&p 500 increased 13 *end* 6% in 2005 *end* *end*,unspecified
849,silver,the euro slid to 99 36 yen late friday *end* *end*,unspecified
850,silver,of the 1980s *end* *end* tub thumper inflamed racial hatred,overlap
851,silver,retirees are loathe to turn insurers generally keep any remaining,overlap
852,silver,who has served as president san francisco since 2004 *end* *end*,unspecified
853,silver,behind and restructure this company tim geithner said in a,unspecified
854,silver,drop modestly through year-end *end* *end* *start* they disagree about next,unspecified
855,silver,may's selloff suggests that with more volatility lies ahead *end*,unspecified
856,silver,had in past years *end* *end* *start* *start* today *end* *end*,unspecified
857,silver,*start* "it's different this time people start acting on that,unspecified
858,silver,reserve is raising interest rates small stocks falls to roughly,unspecified
859,silver,program have pushed yields sharply have broadly tracked treasurys *end*,overlap
860,silver,producer prices rose a larger-than-expected basis in october from the,overlap
861,silver,smallcap 600 shed 3 *end* videogame makers powered up after,overlap
862,silver,to become aware of the *start* investors suffered a 6%,unspecified
863,silver,its members reported a decline and employment in december *end* *end*,unspecified
864,silver,*start* albeit prior months were also were also revised upward *end*,after
865,silver,further in coming months *end* *end* august decline followed a revised,unspecified
866,silver,nation is better for it jerry nadler rushed to pay,unspecified
867,silver,off its feb. 26 high *end* *start* it closed friday at,unspecified
868,silver,has steadily declined *end* *end* taxes now consume a whopping,unspecified
869,silver,republican leadership drafted a revised that would eliminate any cost-of-living,unrealized
870,silver,stock average dropped 121 points rally on friday *end* *end*,unspecified
871,silver,taxes now consume a whopping 29% peak during world war i ; the,unspecified
872,silver,*start* "i felt numb *end* taken a beating this recession,unspecified
873,silver,net income rose by 10% company's shares fell 4% to,unspecified
874,silver,and co-managers said they had they were critical of the,unspecified
875,silver,but only 220 more years to reach years to reach $28 *end*,overlap
876,silver,federal officials completed a six-month -- to spread the word,unspecified
877,silver,assets they buy *end* *end* these differences produce varying yields,unspecified
878,silver,spending is higher than the peak during world war i ; the,before
879,silver,record levels reached in the in the fall of 1982 *end* *end*,overlap
880,silver,level since 2002 and near the weakest level since 2002,after
881,silver,a dramatic rise and fall *start* is up 55% *end*,after
882,silver,84 yen late friday *end* *end* changed from 93.81 cents late friday,unspecified
883,silver,hatred and courted violence *end* *start*  today *end* *end*,unspecified
884,silver,*start* if confirmed to the would likely push the balance,before
885,silver,*start* after falling sharply on falling sharply on friday on fears,overlap
886,silver,the euro slid to 99 36 yen late friday *end* *end*,overlap
887,silver,the economy hurt the growth-sensitive *start* comments on sunday from china's,overlap
888,silver,format that gives investors easy already was available from insurer-run,unspecified
889,silver,*start* 000 in april was better april was better than expected,overlap
890,silver,1% in december from 53 3% in november *end* *end*,before
891,silver,the best september in 71 september in 71 years *end* *end*,unspecified
892,silver,are already arguing that the here's a review of the,unspecified
893,silver,the economy this year and into year and into 2009 *end* *end*,unrealized
894,silver,were also revised upward *end* unlikely to pull the euro,unspecified
895,silver,*start* sharpton catapulted into the the alarm felt by many,unspecified
896,silver,"progressive" who pledged to soak were also voting to bring,unspecified
897,silver,is now entering a major since the 1930s *end* *end*,unspecified
898,silver,expected to expand at a pace in 2008 *end* *end*,overlap
899,silver,german yields hit a record program have pushed yields sharply,unspecified
900,silver,yields have hit bottom--but it it is clear that bonds,unspecified
